PublicationYear,PublicationClone,PublicationTarget,PublicationCitation,PublicationPubmed
"2012","N56/9","S-tag","CG Caballero  -  core.ac.uk",""
"2012","L48A/9, N228A/16","Cav1.3 Ca2+ channel, Lhx6.1","S Ahmadiantehrani  -  escholarship.org",""
"2012","K20/78, K14/16","Kv1.1, Kv1.2","A Ivanovic -  rupress.org","22291039"
"2012","L21/32","GluA2/GluR2 glutamate receptor","XA Li  -  search.proquest.com",""
"2012","K57/1","Kv4.2","EY Kim -  ncbi.nlm.nih.gov","23055512"
"2012","N196/16","PARIS/ZNF746","JE Selfridge  -  kuscholarworks.ku.edu",""
"2012","L121/42, K65/35","nNOS/NOS1, CASPR/Neurexin IV","LM Prolo  -  search.proquest.com",""
"2012","N244/5","SynCAM4","Z Schoenmann  -  search.proquest.com",""
"2012","N86/38","GFP","SI Stein  -  core.ac.uk",""
"2012","N86/38","GFP","SM Mackenzie  -  search.proquest.com",""
"2012","N86/38","GFP","MH Arons  -  search.proquest.com",""
"2012","K28/43","PSD-95","JR Austgen, DD Kline  -  journals.physiology.org",""
"2012","K28/43","PSD-95","SA SALAM  -  theses.fr",""
"2012","K28/43","PSD-95","S Abdel Salam Ibrahim Mohamed  -  theses.fr",""
"2012","K28/43","PSD-95","LP Sowers  -  search.proquest.com",""
"2012","K28/43","PSD-95","MA Clifford  -  search.proquest.com",""
"2012","K28/43","PSD-95","M Hammer  -  pure.mpg.de",""
"2012","K28/43","PSD-95","S Labrecque  -  Citeseer",""
"2012","N129/15","Mad3 (human)","BD Winters  -  search.proquest.com",""
"2012","K14/16, N106/36, L57/46, N64A/36","Kv1.2, Ankyrin-G, Cav1.2 + Cav1.3, TrpC7","KE Brandao -  ncbi.nlm.nih.gov","21674494"
"2012","N86/20","GFP","A Zilberstein, E Sadot  -  naldc.nal.usda.gov",""
"2012","L6/60","Slo1/BKAlpha maxi-K+ channel","MB McFerrin, H Sontheimer  -  journals.physiology.org",""
"2012","L11A/41","Pan-Neurofascin","JKM Ng  -  pure.mpg.de",""
"2012","N87/25","GABA(A)R, Beta3","KN Gurba -  researchgate.net","22303015"
"2012","N138/6","N-terminus, LRRK2/Dardarin","DC Berwick, K Harvey  -  Citeseer",""
"2012","K75/41","Kv4.3","A Duarri -  Wiley Online Library","23280838"
"2012","L51/82","MMP9","F Salinas  -  books.google.com",""
"2012","K89/34","Kv2.1","MMA Al-Owais -  ASBMB","22593583"
"2012","N43/6","Kv7.4/KCNQ4","J Svalo -  Wiley Online Library","21895977"
"2012","K28/43","PSD-95","L Varela-Nallar -  Wiley Online Library","22407911"
"2012","N68/6, N134/12","Nav1.7, Nav1.8","A Tappe-Theodor -  Elsevier","22071319"
"2012","K89/34","Kv2.1","E Bocksteins -  books.google.com",""
"2012","N93A/49","GABA(B)R1","AA Kramer -  hindawi.com","23097697"
"2012","K75/41, K60/73","Kv4.3","Marshall, G.E., et al. 2012. Pflugers Arch. 463:537-48","22160437"
"2012","N74/25","TrpM7","Zhang, Y.H., et al. 2012. Basic Res Cardiol. 107:282.","22802050"
"2012","K20/78, K75/41, K69/3","Kv1.1, Kv4.3, Nav1.2","Huang, C.Y., et al. 2012. J Comp Neurol. 520:3650-72.","22473424"
"2012","K75/41","Kv4.3","Hu, D., et al. 2012. Heart Rhythm. 9:760-9.","22155597"
"2012","N87/25","GABA(A)R, Beta3","Fuks, J.M., et. al. 2012. PLOS Pathogens. 8:e1003051.","23236276"
"2012","L6/60","Slo1BKAlpha","Zhang, J., et al. 2012. Am J Gastorintest Liver Physiol. 303:G1322-34.","23064759"
"2012","K89/34","Kv2.1","Smith, K.E., et al. 2012. J Biol Chem. 287:43972-83.","23115240"
"2012","N206A/8","GFAP","Lu, J. 2012. Neuroinflammation. 9:233.","23039175"
"2012","K13/31","Kv1.4","Zhu, Y., et al. 2012. Mol Pain. 8:65.","22963239"
"2012","N106/36, L11A/41","Ankyrin-G, Pan-Neurofascin","Buffington S.A., et al. 2012. Mol Cell Neurosci. 50:1-9.","22445657"
"2012","K65/35, K14/16","CASPR/Neurexin IV, Kv1.2","Takano, M., et al. 2012. PLoS One. 7:e52904.","23300814"
"2012","N159/5","Pan-Gamma-protocadherin-Constant","Garrett, A.M., et al. 2012. Neuron. 74:269-76","22542181"
"2012","review article","review article","Johnson, M. 2012. Mater Methods (Labome). 2:132.",""
"2012","N87/25","GABA(A)R Beta3","Mendu, S.K., et al. 2012. PLoS One. 7:e42959.","22927941"
"2012","K14/16, K28/43","Kv1.2, PSD-95","Shimoda, Y., et al. 2012. Neurosci Lett. 510:148-53.","22285261"
"2012","K20/78","Kv1.1","Loukaides, P., et al. 2012. J Neurol Sci. 312:52-6.","21906755"
"2012","review article","review article","Cachat, J., et al. 2012. Int Rev Neurobiol. 103:39-68.","23195120"
"2012","K88/64","Zinedin","Chen, Y.K., et al. 2012. Mol Bil Cell. 23:4383-92.","23015759"
"2012","N59/20","GluN2B/NR2B","Mazzone, C.M., et al.  2012. Mol Pharmacol. 82:1241-49.","22989522"
"2012","N127/31, K28/43, N18/30","Pan-SAPAP, PSD-95, Chapsyn 110/PSD-93","Shin, S.M., et al. 2012. Nat Neurosci. 15:1655-66.","23143515"
"2012","K28/43","PSD-95","Maynard, K.R. and Stein, E. 2012. J Neurosci. 32:16637-50.","23175819"
"2012","N144/17, N159/5","Gamma-protocadherin-A3, Pan-Gamma-protocadherin-Constant","Chen, W.V., et al. 2012. Neuron. 75:402-9.","22884324"
"2012","N50/36","NGL-2/LRRC4","DeNardo, L.A., et al. 2012. Neuron. 76:762-75.","23177961"
"2012","K89/34, K37/89","Kv2.1, Kv2.2","Tsantoulas, C., et al. 2012. J Neurosci. 32:17502-13.","23197740"
"2012","K28/86","Pan-MAGUK","Sheets, L., et al. 2012. J Neurosci. 32:17273-86.","23197719"
"2012","N106/36, N319A/14","Ankyrin-G, SUR2A","Hong, M., et al. 2012. J Biol Chem. 287:41258-67","23066018"
"2012","K57/1, K75/41, K20/78","Kv4.2, Kv4.3, Kv1.1","Yao, J.J., et al. 2012. J Biol Chem. 287:41534-45.","23066017"
"2012","K56A/50, N23B/49","CASK, Pan-Shank","Cheadle, L, and Biederer, T. 2012. J Cell Biol. 199:985-1001.","23209303"
"2012","N86","GFP","Guo, C., et al. 2012. J Biol Chem. 287:12111-20.","22337871"
"2012","L57/46","Cav1.2 + Cav1.3","LaRocca, T.J., et al. 2012. Am J Physiol Heart Circ Physiol. 303:H353-67.","22610174"
"2012","L24/18","IP3 receptor type 1","Chandrasekhar, R. and Yule, D. (2012). InsP3R. The Pancreapedia: Exocrine Pancreas Knowledge Base, DOI: 10.3998/panc.2012.15.",""
"2012","N76/8","Ataxin-1, 11NQ","Menon, R.P., et al. 2012. Sci Reports. 2:919.","23213356"
"2012","K28/43","PSD-95","Berry, C.T., et al. 2012. PLoS One. 7:e50911.","23226425"
"2012","K89/34","Kv2.1","Shepherd, A.J., et al. 2012. J Neurosci. 32:17725-39.","23223293"
"2012","L21/32, N59/20","GluA2/GluR2, GluN2B/NR2B","Bagetta, V., et al. 2012. J Neurosci. 32:17921-31.","23223310"
"2012","N52A/42","Mortalin/GRP75","Kummer, M.P., et al. 2012. J Neurosci. 32:17824-29.","23223301"
"2012","N308/48","GluN1/NR1","DeParis, S.W., et al. 2012. Mol Vis. 18:2814-27.","23233784"
"2012","N111/24","Mitofusin-1","Chao, L.C., et al. 2012. J Lipid Res. 53:2610-19.","23028113"
"2012","N87/25","GABA(A)R, Beta3","Sumegi, M., et al. 2012.  J Physiol. 590:1517-34.","22351636"
"2012","N212/17","TRIP8b constant","Wilkars, W., et al. 2012. PLoS One. 7:e32181.","22363812"
"2012","N114/10","HCN4","Khurana, S., et al. 2012. J Neurosci. 32:2814-23.","22357864"
"2012","K60/73","KChIP2","Jeyaraj, D., et al. 2012. Nature. 483:96-9.","22367544"
"2012","K28/43","PSD-95","Beffert, U., et al. 2012. J Neurosci. 32:13906-16.","23035100"
"2012","N271/44","ASIC1","Diochot, S., et al. 2012. Nature. 490:552-5.","23034652"
"2012","N202/7","Fig4/Sac3","Zolov, S.N., et al. 2012. Proc Natl Acad Sci U S A. 109:17474-77.","23047693"
"2012","K65/35","CASPR/Neurexin IV","Sun, W., et al. 2012. J Neurotrauma. 29:611-19.","21988176"
"2012","K75/41","Kv4.3","Lei, Z., et al. 2012. J Neurotrauma. 29:235-45.","21895522"
"2012","K28/43","PSD-95","Porras, G., et al. 2012. J Clin Invest. 122:3977-89.","23041629"
"2012","K57/1","Kv4.2","Kim, E. and Hoffman, D.A.. 2012. J Neurosci. 32:14427-32.","23055512"
"2012","K28/43","PSD-95","Howell, M.D., et al. 2012. PLoS One. 7:e47226.","23071766"
"2012","N103/31","AlDH1L1","Oliva, A.A., et al. 2012. J Neurochem. 123:1019-29.","23057870"
"2012","K14/16","Kv1.2","Uchida, N., et al. 2012. Sci Transl Med. 4:155ra136.","23052293"
"2012","N70/28, N71/37, N141/28, N114/10","HCN1, HCN2, HCN3, HCN4","Almanza, A., 2012. J Neurophysiol. 108:2264-75.","22832570"
"2012","N70/28","HCN1","Huang, Z., et al. 2012. J Neurosci. 32:14835-48.","23077068"
"2012","L11A/41","PanNeurofascin","Cortes, D.F., et al. 2012. Electrophoresis. 33:3712-9.","23160985"
"2012","N93A/49","GABA(B)R1","Kramer, A.A., et al. 2012. J Signal Transduct. 2012:597214.","23097697"
"2012","L21/32","GluA2/GluR2","Watt, N.T., et al. 2012. Nat Commun. 3:1134.","23072804"
"2012","N86/38","GFP","Mackenzie, S.M. and Raible D.W. 2012. PLoS One. 7:e47257.","23094043"
"2012","K20/78, K14.16, L23/27","Kv1.1, Kv1.2, Kv1.3","Nguyen, H.M., et al. 2012. Proc Natl Acad Sci U S A. 109:18577-82.","23090990"
"2012","L57/46","Cav1.2 + Cav1.3","Cutler, M.J., et al. 2012. Circulation. 126:2095-2104.","23019291"
"2012","K28/43","PSD-95","Sanderson, J.L., et al. 2012. J Neurosci. 32:15036-52.","23100425"
"2012","N206A/8","GFAP","Ma, S., et al. 2012. J Neurosci. 32:14979-93.","23100420"
"2012","N28/9","VGlut1","Arons, M.H., et al. 2012. J Neurosci. 32:14966-78.","23100419"
"2012","L6/60","SloBKAlpha","Montgomery, J.R. and Meredith, A.L. 2012. Proc Natl Acad Sci U S A. 109:18997-19002.","23112153"
"2012","L21/32, N59/20, N75/33","GluA2/GluR2, GluN2B/NR2B, mGluR1/5","Harraz, M.M., et al. 2012. Proc Natl Acad Sci U S A. 109:18962-67.","23112146"
"2012","N68/6","Nav1.7","Liu, J., et al. 2012. BMC Neurosci. 13:129.","23095258"
"2012","N59/36","GluN2B/NR2B","Chen, B.S., et al. 2012. Cell Reports. 2:1120-28.","23103165"
"2012","N3/26","Slo2.2/Slack","Zhang, Y., et al. 2012. J Neurosci. 32:15318-27.","23115170"
"2012","K28/43","PSD-95","Butko, M.T., et al. 2012. Nat Neurosci. 15:1742-51.","23103964"
"2012","N86/8, N52A/42","GFP, Mortalin/GRP75","Ulrich, J.D., et al. 2012. J Biol Chem. 287:37594-609","22977251"
"2012","K14/16, N26A/23, N106/36","Kv.2, Kv7.2/KCNQ2, Ankyrin-G","Sánchez-Ponce, D., et al. 2012. PLoS One. 7:e48557.","23119056"
"2012","N206A/8","GFAP","Chen, R., et al. 2012. Cell Reports. 2:1329-39.","23122958"
"2012","K28/43","PSD-95","Peng, Y.R., et al. 2012. Neuropharmacol. 65:232-43.","23123677"
"2012","K28/43","PSD-95","Shipman, S.L. and Nicoll, R.A. 2012. Proc Natl Acad Sci U S A. 109:19432-37.","23129658"
"2012","K28/43, K64/15, N245/36","PSD-95, SAP97, TARPGamma2+4+8","Nagura, H., et al. 2012. Molecular Brain. 5:43.","23268962"
"2012","N95/35, L21/32","GABA(A)R Alpha1, GluA2/GluR2","Henderson, A.K., et al. 2012. Neuroscience. 215:98-113.","22546338"
"2012","N67/15","TRPC5","Kaczmarek, J.S., et al. 2012. Proc Natl Acad Sci U S A. 109:7888-92.","22547824"
"2012","N295B/66","Arl13b","Piotrowska-Nitsche, K. and Caspary, T. 2012. Cilia. 1:6.","23145349"
"2012","N23B/49, K28/43","Pan-Shank, PSD-95","Hu, J.H., et al. 2012. Nat Neurosci. 15:836-44","22561452"
"2012","K39/25, K57/1, K60/73","Kv2.1, Kv4.2, KChIP2","Marionneau, C., et al. 2012. J Neurosci. 32:5716-5727.","22539834"
"2012","N138/6","LRRK2/Dardarin, N-terminus","Xiong, Y., et al. 2012. J Neurosci. 32:3877-86.","22423108"
"2012","K28/43","PSD-95","Chierzi, S., et al. 2012. Mol Cell Neurosci. 50:260-271.","22579606"
"2012","K57/1, K66/38","Kv4.2, KChIP3","Foeger, N.C., et al. 2012. J Biol Chem. 287:9640-50.","22311982"
"2012","K14/16","Kv1.2","Deverman, B. and  Patterson, P.H. 2012. J Neurosci. 32:2100-09.","22323722"
"2012","N70/28, N71/37, N141/28, N114/10","HCN1, HCN2, HCN3, HCN4","Kanyshkova, T., et al. 2012. Neurobiol Dis. 45:450-61.","21945537"
"2012","L24/18","IP3 receptor type 1","Westcott, E., et al 2012. J Physiol. 590:1849-69.","22331418"
"2012","N106/36","Ankyrin-G","Chen, X., et al. 2012. PLoS One. 7:e31547.","22348101"
"2012","N86/38, N95/35","GFP, GABA(A)R, Alpha1","Smith, K.R., et al. 2012. J Neurosci. 32:2485-98","22396422"
"2012","N112B/14, N25/35","Kir2.1, Kir2.3","Cazorla, M., et al. 2012. J Neurosci. 32:2398-2409.","22396414"
"2012","N23B/6, K28/43","Pan-Shank, PSD-95","Qian, H., et al. 2012. J Neurophysiol. 107:2703-12.","22338020"
"2012","N106/36","Ankyrin-G","Leon, G., et al. 2012. J Alzheimers Dis. 29:841-52.","22337828"
"2012","N230/21","MMACHC","Deme, J.C., et al. 2012. Mol Genet Metab. 107:352-62.","22832074"
"2012","N28/9, N81/2, N18/30, K28/43","VGlut1, GABA(B)R2, Chapsyn-110/PSD-93, PSD-95","Nguyen, M.V.C., et al. 2012. J Neurosci. 32:10021-34.","22815516"
"2012","K28/43","PSD-95","Combeau, G., et al. 2012. J Biol Chem. 287:30084-96.","22815483"
"2012","K57/1, K75/41, K66/38","Kv4.2, Kv4.3, KChIP3","Matsuyoshi, H., et al. 2012. Life Sci. 91:258-63.","22820170"
"2012","N86/8","GFP","Krager, K.J., et al. 2012. J Lipid Res. 53:2214-25.","22822037"
"2012","N77/15","TrpC4","Lee, J.E., et al. 2012. Rapid Commun Mass Spectrom. 26:1965-70.","22847694"
"2012","K65/35","CasPR/Neurexin IV","Bin, J.M., et al. 2012. PLoS One. 7:e41237.","22911763"
"2012","K14/16","Kv1.2","Sanchez, J.T., et al. 2012. J Physiol. 590:4801-18.","22826130"
"2012","K60/73","KChIP2","Özgen, N., et al. 2012. Heart Rhythm. 9:1865-72.","22820054"
"2012","K75/41","Kv4.3","Duarri, A., et al. 2012. Ann Neurol. 72:870-80.","23280838"
"2012","K28/86, K64/15","Pan-MAGUK, Sap97","Liu, W., et al. 2012. Sci Signal. 5:ra54.","22855505"
"2012","L57/46","Cav1.2 + Cav1.3","Ramos-Mondragón, R., et al. 2012. Cardiovasc Res. 96:244-54.","22847236"
"2012","K28/43","PSD-95","Ha, C.M., et al. 2012. J Biol Chem. 287:31813-22.","22843680"
"2012","N70/28, N71/37, N114/10","HCN1, HCN2, HCN4","Ying, S.W., et al. 2012. PLoS One. 7:e42756","22880098"
"2012","K28/43","PSD-95","Austgen, J.R., et al. 2012. J Neurophysiol. 108:2292-305.","22855775"
"2012","N59/20","GluN2B/NR2B","Zhang, Y., et al. 2012. J Biol Chem. 287:33268-81.","22869379"
"2012","N114/10","HCN4","Partida, G.J., et al. 2012. Invest Ophthalmol Vis Sci. 53:1696-703.","22281825"
"2012","L48A/9, N38/8","Cav1.3","Zou, J., et al. 2012. Vision Res. 75:53-9.","22892111"
"2012","N83/48","GIT2","Chadwick, W., et al. 2012. PLoS One. 7:e36975.","22606319"
"2012","N83/48","GIT2","Martin, B., et al. 2012. PLoS One. 7:e36911.","22606307"
"2012","K28/43, N59/36, N127/31","PSD-95, GluN2B/NR2B, Pan-SAPAP","Danielson, E., et al. 2012. J Neurosci. 32:6867-80.","22593065"
"2012","K89/34","Kv2.1","Al-Owais, M.M., et al. 2012. J Biol Chem. 287:24754-64.","22593583"
"2012","N28/9","VGlut1","Nelson, T.E., et al. 2012. Brain Behav Immun. 26:959-71.","22609298"
"2012","K36/15","Kv1.1","Zhu, J., et al. 2012. Arch Biochem Biophys. 524:99-105.","22609616"
"2012","K36/15, K13/31, K89/34, L6/60, K57/1, K75/41, K60/73, K66/38","Kv1.1, Kv1.4, Kv2.1, Slo1/BKAlpha, Kv4.2, Kv4.3, KChIP2, KChIP3","Menegola, M., et al. 2012. Epilepsia. 53:142-9.","22612819"
"2012","K55/7, K60/73, K66/38, K55/82","KChIP1, KChIP2, KChIP3, Pan-KChIP","Pruunsild, P. and Timmusk, T. 2012. J Neurochem. 123:29-43.","22612322"
"2012","L23/27","Kv1.3","Zhu, J., et al. 2012. FEBS J. 279:2632-44.","22613618"
"2012","N106/36, K65/35","Ankyrin-G, Caspr/Neurexin IV","Gasser, A., et al. 2012. J Neurosci. 32:7232-43.","22623668"
"2012","L20/8","PICK1","Murphy, K.M., et al. 2012. Front Mol Neurosci. 5:65.","22623912"
"2012","K28/43","PSD-95","Keith, D.J., et al. 2012. J Neurosci. 32:7119-36.","22623657"
"2012","L21/32","GluA2/GluR2","Schwenk, J., et al. 2012. Neuron. 74:621-33.","22632720"
"2012","A12/18, L11A/41, N105/17, N106/20, N106/36","Pan-Neurofascin (extracellular), Pan-Neurofascin, Ankyrin-B, Ankyrin-G, Ankyrin-G","Galiano, M.R., et al. 2012. Cell. 149:1125-39.","22632975"
"2012","N28/9, K28/43","VGlut1, PSD-95","Liu, J., et al. 2012. Hum Mol Genet. 21:3795-805.","22641815"
"2012","N86/8","GFP","Nguyen, T.A., et al. 2012. PLoS One. 7:e38209.","22666486"
"2012","N59","GluN2B/NR2B","Kroener, S., et al. 2012. PLoS One. 7:e37451.","22666364"
"2012","K14/16","Kv1.2","Zenker, J., et al. 2012. J Neurosci. 32:7493-98.","22649228"
"2012","A12/18, L11A/41, N106/36","Pan-Neurofascin (extracellular), Pan-Neurofascin, Ankyrin-G","Yap, C.C., et al. 2012. J Neurosci. 32:7439-53.","22649224"
"2012","K28/43, K55/7, K57/1, K65/35, K89/34, L6/60, N147/6, N106/36, N206A/8, K14/16, L76/36","PSD-95, KChIP1, Kv4.2, Caspr/Neurexin IV, Kv2.1, Slo1/BKAlpha, Pan-QKI, Ankyrin-G, GFAP, Kv1.2","Manning, C.F., et al. 2012. PLoS One. 7:e38313.","22675541"
"2012","N103/39","Aldh1L1","Lu, P.P.Y. and Ramanan, N. 2012. J Neurosci. 32:8012-23.","22674276"
"2012","N1/12","KCC2","Sun, Y.G., et al. 2012. J Neurosci. 32:7782-90.","22674255"
"2012","N86/8","GFP","Puram, S.V., et al. 2012. J Neurosci. 32:7806-18.","22674257"
"2012","N114/10","HCN4","Hughes, D.I., et al. 2012. J Physiol. 590:3927-51.","22674718"
"2012","N134/12","Nav18","Kim, Y.S., et al. 2012. J Endodon. 38:1087-92.","22794211"
"2012","N97A/31, N170A/1","Neuroligin-1, Neurexin-1-beta","Yamagata, M. and Sanes, J.R. 2012. Front Mol Neurosci. 5:18.","22355283"
"2012","K14/16","Kv1.2","Oluich, L.J., et al. 2012. J Neurosci. 32:8317-30.","22699912"
"2012","K65/35","CASPR/Neurexin IV","Brambrink, A.M., et al. 2012. Ann Neurol. 72:525-35.","23109147"
"2012","K28/43, N59/20","PSD-95, GluN2B/NR2B","Mulholland, P.J., et al. 2012. Alcohol. 46:569-76.","22703994"
"2012","review article","review article","Li, K.W., et al. 2012. Proteomics. 12:2428-32.","22707207"
"2012","L60/4","Copper ATPase 1","Abada, P.B., 2012. Mol Pharmacol. 82:510-20.","22710939"
"2012","N19/2","SAP102","Lauks, J., et al. 2012. PLos One. 7(6):e39420.","22745750"
"2012","L48A/9","Cav1.3","Yamasaki, S., et al. 2012. PLoS One. 7(6):e39654.","22745805"
"2012","N165/43","Pan-PTPRF","Kuhn, P.H., et al. 2012. EMBO J. 31:3157-68.","22728825"
"2012","N77/15, N67/15, N64A/36","TrpC4, TrpC5, TrpC7","Inoue, M., et al. 2012. Am J Physiol Cell Physiol. 303:C635-44.","22744007"
"2012","L51/82","MMP9","Delfin, D.A., et al. 2012. Neuromuscul Disord. 22:1006-14.","22749475"
"2012","K89/34","Kv2.1","Norris, C.A., et al. 2012. J Neurosci. 32:8865-70.","22745487"
"2012","N1/12","KCC2","Doding, A., et al. 2012. Biochem Biophys Res Comun. 420:492-7.","22414695"
"2012","N59/36","GluN2B/NR2B","She, K., et al. 2012. J Biol Chem. 287:27432-45.","22740692"
"2012","N7/18, N10/7","Cavbeta1, Cavbeta4","Ferrandiz-Huertas, C., et al. 2012. J Neurochem. 122:1095-1107.","22737983"
"2012","N86/38","GFP","Thomas, A., et al. 2012. PLoS One. 7:e40276.","22792260"
"2012","K14/16, K17/70","Kv1.2, Kvbeta2","Williams, M.R., et al. 2012. J Neurosci. 32:9228-37.","22764231"
"2012","N103/39","Aldh1L1","Lee, Y., et al. 2012. Nature. 487:443-8.","22801498"
"2012","N207/27","LRP4 (extracellular)","Wu., H., et al. 2012. Neuron. 75:94-107.","22794264"
"2012","N52A/9","Mortalin/GRP75","Wnters, B.D., et al. 2012. Proc Natl Acad Sci U S A. 109:E2717-25.","23012412"
"2012","K96/7","Pancortin","Rice, H.C., et al. 2012. Development. 139:3986-96.","22992957"
"2012","L6/60","Slo1/BKAlpha","McFerrin, M.B., et al. 2012. Am J Physiol Cell Physiol. 303:C1070-78.","22992678"
"2012","N202/7","Fig4/Sac3","Tahtouh, T., et al. 2012. J Med Chem. 55:9312-30.","22998443"
"2012","N86/8","GFP","Vapniarsky, N., et al. 2012. PLoS One. 7:e45099.","23028782"
"2012","N68/6, N134/12","Nav1.7, Nav1.8","Cachemaille, M., et al. 2012. Neurosci. 227:370-80.","23022218"
"2012","L6/60","Slo1/BKAlpha","Föller, M., et al. 2012. FASEB J. 26:4243-53.","22767231"
"2012","L51/82","MMP9","Duellman, T., et al. 2012. Circ Cardiovasc Genet. 5:529-37.","22942228"
"2012","N192/12, N144/14","Gs protein alpha subunit, 6xHis","Sun, Z., et al. 2012. Cell Signal. 24:2349-59.","22940628"
"2012","K28/43","PSD-95","Holmes, A., et al. 2012. Nat Neurosci. 15:1359-61.","22941108"
"2012","K28/43","PSD-95","Srivastava, D.P., et al. 2012. J Biol Chem. 287:35964-74.","22948147"
"2012","N86/8","GFP","Jung, J.J., et al. 2012. PLoS One. 7:e44572.","22962618"
"2012","L6/60, N53/32, N40B/18, L18A/3","Slo1/BKAlpha, BKBeta2, BKBeta3a, BKBeta4","Zhang, X.L., et al, 2012, Mol Pain. 8:37.","22607137"
"2012","N68/6","Nav1.7","Yan, J., et al. 2012. Mol Pain. 8:6.","22273495"
"2012","K28/43","PSD-95","Sceniak, M.P., et al. 2012. Neural Dev. 7:8.","22340949"
"2012","N28/9","VGlut1","Tan, A.M., et al. 2012. J Neurosci. 32:12896-908.","22973013"
"2012","N59/36, L21/32, K28/43","GluN2B/NR2B, GluA2/GluR2, PSD-95","Ardiles, A.O., et al. 2012. Proc Natl Acad Sci U S A. 109:13835-40.","22869717"
"2012","K20/78, K14/16","Kv1.1, Kv1.2","Glasscock, E., et al. 2012. J Physiol. 590:3913-26.","22641786"
"2012","N112B/14","Kir2.1","Milstein, M.L., et al. 2012. Proc Natl Acad Sci U S A. 109:E134-43.","22509027"
"2012","K13/31, N72/16","Kv1.4, Kv3.4","DiFranco, M., et al. 2012. J Gen Physiol. 140:109-37.","22851675"
"2012","N86/38","GFP","Hyodo, T., et al. 2012. J Biol Chem. 287:25019-29.","22665485"
"2012","K28/43","PSD-95","Pallotto, M., et al. 2012. J Neurosci. 32:9103-115.","22745509"
"2012","N86/8","GFP","Oh, H.J., et al. 2012. J Biol Chem. 287:21717-28.","22577143"
"2012","N111/24","Mitofusin-1","Ngoh, G.A., et al. 2012. J Biol Chem. 287:20321-32.","22511781"
"2012","K28/43","PSD-95","Vastagh, C., et al. 2012. J Biol Chem. 287:18103-14.","22493505"
"2012","N77/15, N67/15","TrpC4, TrpC5","Jeon, J.P., et al. 2012. J Biol Chem. 287:17029-39.","22457348"
"2012","N68/6","Nav1.7","Ho, C., et al. 2012. J Biol Chem. 287:15044-53.","22408255"
"2012","N86/8","GFP","Shan, Y. and Cortopassi, G. 2012. Hum Molec Genet. 21:1457-69.","22171070"
"2012","N86/38, N23B/49","GFP, Pan-Shank","Gardoni, f., et al. 2012. J Cell Sci. 125:1401-6.","22328515"
"2012","N88/1, N10/7","Cavbeta2, Cavbeta4","Li, L., et al. 2012. J Biol Chem. 287:6002-13.","22187436"
"2012","N149/25","Olig1","Lujan, E., et al. 2012. Proc Natl Acad Sci U S A. 109:2527-32.","22308465"
"2012","N81/2, K57/1","GABA(B)R2, Kv4.2","Maity, B., et al. 2012. J Biol Chem. 287:4972-81.","22179605"
"2012","K75/41","Kv4.3","Zhang, M., et al. 2012. Am J Physiol Heart Circ Physiol. 302:H910-922.","22180649"
"2012","N16B/8","Kv3.1b","Gu, Y., et al. 2012. J Biol Chem. 287:1755-69.","22105078"
"2012","K87A/10","Nav1.6","Devaux, J..J., et al. 2012. Am J Pathol. 181:1402-13.","22885108"
"2012","K28/43","PSD-95","Zhu, X., et al. 2012. PLoS Genet. 8:e1002853.","22912588"
"2012","N29/29","VGlut2","Su, J., et al. 2012. Cell Rep. 30:223-30.","22884367"
"2012","N59/36","GluN2B/NR2B","She, K., et al. 2012. Mol Cell Neurosci. 51:68-78.","22902837"
"2012","L57/46","Cav1.2 + Cav1.3","Wilson, S.M., et al. 2012. J Biol Chem. 287:35065-77.","22891239"
"2012","N138/6","LRRK2/Dardarin, N-terminus","Berwick, D.C. and Harvey, K. 2012. Hum Mol Genet. 21:4966-79.","22899650"
"2012","L57/46","Cav1.2 + Cav1.3","Brittain, J.M., et al. 2012. Channels (Austin). 6:94-102.","22627147"
"2012","L45/30","SynCAM1","Rollenhagen, M., et al. 2012. J Biol Chem. 287:35170-80.","22908220"
"2012","N4/15","Pink1","Okatsu, K., et al. 2012. Nature Commun. 3:1016.","22910362"
"2012","N89/34","Kv2.1","Tai, L.H., et al. 2012. Nature Neurosci. 15:1281-89.","22902719"
"2012","K28/43, N144/14","PSD-95, 6xHis","Li, Y., et al. 2012. J Neurosci. 32:11780-97.","22915120"
"2012","L20/8","PICK1","Jaafari, N., et al. 2012. J Neurosci. 32:11618-30.","22915106"
"2012","K28/43","PSD-95","Srivastava, D.P., et al. 2012. J Neurosci. 32:11864-78.","22915127"
"2012","N49A/21, K28/43, N23B/49, N327/95","NGL-1/LRRC4C, PSD-95, Pan-Shank, GluN2A/NR2A","Ricciardi, S., et al. 2012. Nat Cell Biol. 14:911-23.","22922712"
"2012","N192/12, N221/17, N52A/42","Gs protein alpha subunit, TrpV1, Mortalin/GRP75","Loo, L., et al. 2012. J Neurosci. 32:11942-55.","22933780"
"2012","N241A/34, N138/6","LRRK2/Dardarin, C-terminus, LRRK2/Dardarin, N-terminus","Gómez-Suaga, P., et al. 2012. Hum Mol Genet. 21:511-25.","22012985"
"2012","N106/36","Ankyrin-G","Sánchez-Ponce, D., et al. 2012. Cereb Cortex. 22:1648-61.","21940706"
"2012","N23B/6, K28/43","Shank2, PSD-95","Berkel, S., et al. 2012. Hum Mol Genet. 21:344-57.","21994763"
